,To_Country,Year,Total_Points,Albania,Armenia,Australia,Austria,Azerbaijan,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Kazakhstan,Latvia,Lithuania,Luxembourg,Malta,"Moldova, Republic of",Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russian Federation,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom
802,Austria,1990,58,NaN,NaN,NaN,,NaN,NaN,2,NaN,NaN,NaN,,NaN,,NaN,2,3,NaN,,,NaN,6,2,,12,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,2,,7,NaN,8
803,Switzerland,1990,51,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,1,NaN,12,NaN,3,1,NaN,,12,NaN,,,,,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,,NaN,,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,1,,,6,NaN,
804,Belgium,1990,46,NaN,NaN,NaN,4,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,8,NaN,8,,NaN,,1,,,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,7,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,,7,4,,NaN,
805,Luxembourg,1990,38,NaN,NaN,NaN,5,NaN,NaN,,NaN,NaN,NaN,5,NaN,,NaN,,12,NaN,3,4,NaN,,,,1,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,3
806,Cyprus,1990,36,NaN,NaN,NaN,,NaN,NaN,5,NaN,NaN,NaN,,NaN,2,NaN,6,,NaN,,6,NaN,,,5,4,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,6,,,NaN,
807,Netherlands,1990,25,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,2,NaN,,NaN,,6,NaN,,1,NaN,,,2,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,,NaN,,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,,3,3,NaN,4
808,Sweden,1990,24,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,2,2,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,6,NaN,6,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,2,,,,NaN,6
809,Turkey,1990,21,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,5,,NaN,2,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,3,NaN,4,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
810,Israel,1990,16,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,5,,NaN,4,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,2,,NaN,
811,Greece,1990,11,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,6,NaN,,NaN,,,NaN,,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,5,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
812,Portugal,1990,9,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,,,NaN,,,,,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,2
813,Norway,1990,8,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,1,NaN,,,NaN,,,NaN,,3,4,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
814,Finland,1990,8,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,,,NaN,5,,3,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
815,Yugoslavia,1989,137,NaN,NaN,NaN,10,NaN,NaN,10,NaN,NaN,NaN,5,NaN,10,NaN,7,3,NaN,1,,NaN,6,12,12,,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,8,NaN,7,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,,8,5,12,NaN,12
816,United Kingdom,1989,130,NaN,NaN,NaN,8,NaN,NaN,,NaN,NaN,NaN,2,NaN,1,NaN,6,12,NaN,12,2,NaN,,4,7,6,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,7,NaN,12,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,10,10,,1,NaN,
817,Denmark,1989,111,NaN,NaN,NaN,7,NaN,NaN,4,NaN,NaN,NaN,,NaN,,NaN,12,6,NaN,,,NaN,10,10,1,5,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,12,NaN,10,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,,12,,6,NaN,10
818,Sweden,1989,110,NaN,NaN,NaN,12,NaN,NaN,6,NaN,NaN,NaN,8,NaN,12,NaN,,2,NaN,8,8,NaN,2,,6,,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,,NaN,8,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,5,,3,,NaN,4
819,Austria,1989,97,NaN,NaN,NaN,,NaN,NaN,12,NaN,NaN,NaN,10,NaN,4,NaN,1,,NaN,5,12,NaN,8,,8,12,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,2,7,8,3,NaN,
820,Spain,1989,88,NaN,NaN,NaN,,NaN,NaN,7,NaN,NaN,NaN,4,NaN,,NaN,8,8,NaN,10,10,NaN,,,,8,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,,NaN,4,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,10,2,NaN,7
821,Finland,1989,76,NaN,NaN,NaN,3,NaN,NaN,,NaN,NaN,NaN,3,NaN,,NaN,,10,NaN,,,NaN,,8,10,,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,6,NaN,,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,7,4,,10,NaN,
822,France,1989,60,NaN,NaN,NaN,5,NaN,NaN,,NaN,NaN,NaN,7,NaN,3,NaN,3,,NaN,2,5,NaN,,6,5,3,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,4,NaN,5,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,1,,,NaN,
823,Italy,1989,56,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,6,NaN,,NaN,10,,NaN,7,4,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,12,,2,,NaN,
824,Greece,1989,56,NaN,NaN,NaN,,NaN,NaN,1,NaN,NaN,NaN,12,NaN,,NaN,,1,NaN,,,NaN,4,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,1,NaN,6,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,4,,12,,NaN,5
825,Cyprus,1989,51,NaN,NaN,NaN,2,NaN,NaN,,NaN,NaN,NaN,,NaN,8,NaN,,,NaN,,7,NaN,12,1,3,2,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,,,4,,NaN,6
826,Israel,1989,50,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,5,NaN,5,,NaN,3,,NaN,5,7,,1,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,3,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,5,7,,NaN,2
827,Switzerland,1989,47,NaN,NaN,NaN,1,NaN,NaN,,NaN,NaN,NaN,,NaN,2,NaN,,,NaN,,,NaN,7,,4,4,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,10,NaN,,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,,,,8,NaN,8
828,Germany,1989,46,NaN,NaN,NaN,,NaN,NaN,5,NaN,NaN,NaN,1,NaN,7,NaN,,,NaN,,3,NaN,3,2,,7,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,,6,6,,NaN,1
829,Netherlands,1989,45,NaN,NaN,NaN,4,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,4,7,NaN,6,1,NaN,,3,,10,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,6,,,,NaN,3
830,Portugal,1989,39,NaN,NaN,NaN,6,NaN,NaN,2,NaN,NaN,NaN,,NaN,,NaN,2,,NaN,,6,NaN,,,,,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,,NaN,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,8,3,,4,NaN,
831,Norway,1989,30,NaN,NaN,NaN,,NaN,NaN,8,NaN,NaN,NaN,,NaN,6,NaN,,4,NaN,,,NaN,,,2,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,2,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,2,1,5,NaN,
832,Ireland,1989,21,NaN,NaN,NaN,,NaN,NaN,3,NaN,NaN,NaN,,NaN,,NaN,,,NaN,4,,NaN,,,,,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,,NaN,3,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,7,NaN,
833,Belgium,1989,13,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,,,NaN,1,5,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,5,NaN,2,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
834,Luxembourg,1989,8,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,5,NaN,,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,3,,,,NaN,
835,Turkey,1989,5,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,1,,,,NaN,
836,Iceland,1989,0,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
837,Switzerland,1988,137,NaN,NaN,NaN,,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,,NaN,5,1,NaN,12,10,NaN,7,10,4,7,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,10,NaN,8,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,8,12,,10,NaN,10
838,United Kingdom,1988,136,NaN,NaN,NaN,10,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,10,NaN,10,,NaN,10,6,NaN,1,7,10,12,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,,NaN,5,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,10,5,5,12,NaN,
839,Denmark,1988,92,NaN,NaN,NaN,12,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,,NaN,4,12,NaN,4,,NaN,10,4,6,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,12,NaN,10,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,1,3,1,,NaN,
840,Luxembourg,1988,90,NaN,NaN,NaN,1,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,2,NaN,12,,NaN,,2,NaN,4,12,,2,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,5,NaN,6,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,,10,12,,NaN,7
841,Norway,1988,88,NaN,NaN,NaN,3,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,5,NaN,7,,NaN,1,7,NaN,5,8,1,4,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,7,NaN,,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,,8,,,NaN,12
842,Yugoslavia,1988,87,NaN,NaN,NaN,4,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,12,NaN,1,3,NaN,,4,NaN,12,3,12,6,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,6,2,7,NaN,8
843,Israel,1988,85,NaN,NaN,NaN,2,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,,NaN,6,10,NaN,5,3,NaN,6,1,,3,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,3,NaN,,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,6,,10,,NaN,4
844,Ireland,1988,79,NaN,NaN,NaN,6,NaN,NaN,5,NaN,NaN,NaN,NaN,NaN,7,NaN,2,4,NaN,7,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,6,NaN,7,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,12,7,4,2,NaN,3
845,Netherlands,1988,70,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,6,12,NaN,,2,7,5,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,7,6,NaN,6
846,France,1988,64,NaN,NaN,NaN,7,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,3,NaN,3,,NaN,3,5,NaN,,,,,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,2,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,2,2,3,8,NaN,
847,Spain,1988,58,NaN,NaN,NaN,8,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,1,NaN,,,NaN,,8,NaN,2,,2,8,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,6,5,NaN,
848,Sweden,1988,52,NaN,NaN,NaN,,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,8,NaN,,,NaN,,,NaN,3,5,,10,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,8,NaN,12,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,2
849,Italy,1988,52,NaN,NaN,NaN,5,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,8,8,NaN,2,,NaN,,,,,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,,NaN,3,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,7,,8,4,NaN,
850,Germany,1988,48,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,6,NaN,,,NaN,,,NaN,8,6,5,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,4,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,3,,,1,NaN,5
851,Turkey,1988,37,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,6,NaN,8,,NaN,,,8,,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,1,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,5,4,,,NaN,1
852,Iceland,1988,20,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,4,NaN,,2,NaN,,,NaN,,,,1,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4,NaN,,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,,1,,,NaN,
853,Greece,1988,10,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,7,NaN,,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,3,NaN,
854,Belgium,1988,5,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,5,NaN,,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
855,Portugal,1988,5,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,1,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,4,,,,NaN,
856,Finland,1988,3,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,,NaN,,,3,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
857,Austria,1988,0,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,,,NaN,,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
858,Ireland,1987,172,NaN,NaN,NaN,12,NaN,NaN,12,NaN,NaN,NaN,8,NaN,5,NaN,12,1,NaN,6,,NaN,,,4,12,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,12,NaN,8,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,10,12,12,10,NaN,12
859,Germany,1987,141,NaN,NaN,NaN,10,NaN,NaN,10,NaN,NaN,NaN,6,NaN,12,NaN,10,6,NaN,,,NaN,12,7,8,4,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,10,NaN,3,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,1,7,1,6,NaN,10
860,Italy,1987,103,NaN,NaN,NaN,6,NaN,NaN,5,NaN,NaN,NaN,1,NaN,,NaN,4,,NaN,12,,NaN,3,12,3,,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,,NaN,,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,12,1,7,8,NaN,1
861,Yugoslavia,1987,92,NaN,NaN,NaN,8,NaN,NaN,8,NaN,NaN,NaN,10,NaN,8,NaN,,2,NaN,,2,NaN,10,1,7,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,12,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,6,,,12,NaN,
862,Netherlands,1987,83,NaN,NaN,NaN,2,NaN,NaN,,NaN,NaN,NaN,,NaN,2,NaN,2,12,NaN,,3,NaN,,6,5,10,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,5,,10,7,NaN,3
863,Denmark,1987,83,NaN,NaN,NaN,7,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,8,8,NaN,,8,NaN,7,4,6,2,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,6,NaN,7,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,8,3,1,NaN,7
864,Cyprus,1987,80,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,10,NaN,6,5,NaN,3,12,NaN,6,8,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,2,NaN,6,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,2,4,,NaN,6
865,Israel,1987,73,NaN,NaN,NaN,1,NaN,NaN,6,NaN,NaN,NaN,,NaN,,NaN,7,10,NaN,8,,NaN,5,5,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,3,NaN,2,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,,4,8,,NaN,4
866,Norway,1987,65,NaN,NaN,NaN,4,NaN,NaN,7,NaN,NaN,NaN,3,NaN,3,NaN,5,4,NaN,7,,NaN,,2,,7,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,3,10,6,,NaN,
867,Greece,1987,64,NaN,NaN,NaN,,NaN,NaN,2,NaN,NaN,NaN,12,NaN,6,NaN,,7,NaN,,,NaN,1,,,8,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,5,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,6,,,NaN,5
868,Belgium,1987,56,NaN,NaN,NaN,3,NaN,NaN,,NaN,NaN,NaN,5,NaN,,NaN,3,,NaN,4,,NaN,,,2,6,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,,NaN,5,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,7,,,4,NaN,8
869,Sweden,1987,50,NaN,NaN,NaN,,NaN,NaN,1,NaN,NaN,NaN,7,NaN,7,NaN,,3,NaN,,,NaN,8,,12,3,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,7,NaN,NaN,NaN,NaN,NaN,NaN,,,,2,NaN,
870,United Kingdom,1987,47,NaN,NaN,NaN,5,NaN,NaN,3,NaN,NaN,NaN,2,NaN,4,NaN,1,,NaN,,,NaN,,3,10,,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,,NaN,,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,,5,5,3,NaN,
871,France,1987,44,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,5,4,NaN,4,10,,5,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,2,,NaN,
872,Finland,1987,32,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,1,1,NaN,,,,,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,8,NaN,10,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,2,3,,,NaN,
873,Iceland,1987,28,NaN,NaN,NaN,,NaN,NaN,4,NaN,NaN,NaN,,NaN,,NaN,,,NaN,10,6,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,4,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,4,,,,NaN,
874,Switzerland,1987,26,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,4,NaN,1,NaN,,,NaN,,,NaN,2,,1,,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,7,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,5,NaN,
875,Portugal,1987,15,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,2,5,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,8,,,,NaN,
876,Spain,1987,10,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,,10,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
877,Austria,1987,8,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,,7,NaN,,,,1,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
878,Luxembourg,1987,4,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,2
879,Turkey,1987,0,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,,NaN,,NaN,,,NaN,,,NaN,,,,,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,,,NaN,
880,Belgium,1986,176,NaN,NaN,NaN,6,NaN,NaN,,NaN,NaN,NaN,10,NaN,10,NaN,12,12,NaN,1,NaN,NaN,10,12,5,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,10,NaN,8,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,10,6,10,12,NaN,10
881,Switzerland,1986,140,NaN,NaN,NaN,4,NaN,NaN,12,NaN,NaN,NaN,5,NaN,4,NaN,7,7,NaN,,NaN,NaN,3,10,12,NaN,NaN,NaN,NaN,12,NaN,NaN,NaN,NaN,12,NaN,5,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,4,12,,10,NaN,5
882,Luxembourg,1986,117,NaN,NaN,NaN,10,NaN,NaN,10,NaN,NaN,NaN,8,NaN,2,NaN,4,8,NaN,12,NaN,NaN,1,7,4,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,8,NaN,12,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,,10,2,,NaN,8
883,Ireland,1986,96,NaN,NaN,NaN,12,NaN,NaN,2,NaN,NaN,NaN,,NaN,12,NaN,8,3,NaN,,NaN,NaN,8,,6,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,,NaN,2,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,12,7,,5,NaN,
884,Sweden,1986,78,NaN,NaN,NaN,5,NaN,NaN,,NaN,NaN,NaN,,NaN,6,NaN,5,2,NaN,4,NaN,NaN,12,,,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,3,NaN,7,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,7,,12,,NaN,3
885,Denmark,1986,77,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,NaN,7,NaN,,NaN,,5,NaN,7,NaN,NaN,7,4,10,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,4,NaN,10,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,5,4,3,,NaN,6
886,United Kingdom,1986,72,NaN,NaN,NaN,3,NaN,NaN,,NaN,NaN,NaN,2,NaN,8,NaN,10,10,NaN,5,NaN,NaN,,,2,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,,NaN,6,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,2,8,4,6,NaN,
887,Germany,1986,62,NaN,NaN,NaN,8,NaN,NaN,7,NaN,NaN,NaN,,NaN,7,NaN,2,,NaN,,NaN,NaN,,8,,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,,NaN,,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,,5,,,NaN,12
888,Turkey,1986,53,NaN,NaN,NaN,2,NaN,NaN,6,NaN,NaN,NaN,,NaN,,NaN,,,NaN,8,NaN,NaN,,,3,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,6,NaN,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,,8,,NaN,2
889,Spain,1986,51,NaN,NaN,NaN,7,NaN,NaN,3,NaN,NaN,NaN,,NaN,3,NaN,1,6,NaN,,NaN,NaN,2,5,,NaN,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,,NaN,,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,,,1,8,NaN,1
